Fold,Date,Stock_Code,Stock_Name,Predict_Prob,Actual_Return,Error_Type,Possible_Reason
1,2025-01-03 00:00:00+00:00,0012.HK,恒基地产,0.7799997769291155,-0.004729729729729626,False Positive,高概率预测但实际下跌
1,2025-01-08 00:00:00+00:00,0012.HK,恒基地产,0.7455661381611208,-0.006973500697350032,False Positive,高概率预测但实际下跌
1,2025-01-15 00:00:00+00:00,0012.HK,恒基地产,0.7029706407612559,-0.009174311926605339,False Positive,高概率预测但实际下跌
1,2025-01-22 00:00:00+00:00,0012.HK,恒基地产,0.7429558962060657,-0.01768033946251768,False Positive,高概率预测但实际下跌
1,2025-01-27 00:00:00+00:00,0012.HK,恒基地产,0.7281729696217036,-0.0035688793718772205,False Positive,高概率预测但实际下跌
1,2025-01-10 00:00:00+00:00,0016.HK,新鸿基地产,0.7849024760479613,-0.015021459227468004,False Positive,高概率预测但实际下跌
1,2025-01-27 00:00:00+00:00,0016.HK,新鸿基地产,0.883929403070229,-0.001982815598149501,False Positive,高概率预测但实际下跌
1,2025-01-07 00:00:00+00:00,0388.HK,香港交易所,0.8410740198632701,-0.027397260273972712,False Positive,高概率预测但实际下跌
1,2025-01-09 00:00:00+00:00,0700.HK,腾讯控股,0.8457008015249917,-0.010373443983402675,False Positive,高概率预测但实际下跌
1,2025-01-21 00:00:00+00:00,0883.HK,中国海洋石油,0.7527872104922708,-0.014586709886547755,False Positive,高概率预测但实际下跌
1,2025-01-02 00:00:00+00:00,0005.HK,汇丰银行,0.22261356782844327,0.004319654427645814,False Negative,低概率预测但实际上涨
1,2025-01-23 00:00:00+00:00,0005.HK,汇丰银行,0.2883946963865262,0.0022883295194506825,False Negative,低概率预测但实际上涨
1,2025-01-28 00:00:00+00:00,0005.HK,汇丰银行,0.29537379978587297,2.4166666666666665,False Negative,低概率预测但实际上涨
1,2025-01-13 00:00:00+00:00,0388.HK,香港交易所,0.27509634703527225,0.024590163934426146,False Negative,低概率预测但实际上涨
1,2025-01-27 00:00:00+00:00,0388.HK,香港交易所,0.2576379562576372,0.01415571284125372,False Negative,低概率预测但实际上涨
1,2025-01-02 00:00:00+00:00,0700.HK,腾讯控股,0.1779422665622731,0.00424628450106157,False Negative,低概率预测但实际上涨
1,2025-01-03 00:00:00+00:00,0700.HK,腾讯控股,0.10257918083706094,0.006342494714587588,False Negative,低概率预测但实际上涨
1,2025-01-08 00:00:00+00:00,0700.HK,腾讯控股,0.2976401278908603,0.01048218029350112,False Negative,低概率预测但实际上涨
1,2025-01-14 00:00:00+00:00,0700.HK,腾讯控股,0.25741005882493684,0.0021459227467810482,False Negative,低概率预测但实际上涨
1,2025-01-16 00:00:00+00:00,0700.HK,腾讯控股,0.27324466817929965,0.008528784648187626,False Negative,低概率预测但实际上涨
2,2025-02-21 00:00:00+00:00,0005.HK,汇丰银行,0.7412523085941137,-0.026066350710900466,False Positive,高概率预测但实际下跌
2,2025-02-25 00:00:00+00:00,0005.HK,汇丰银行,0.7262349845666628,-0.0071770334928229484,False Positive,高概率预测但实际下跌
2,2025-02-10 00:00:00+00:00,0012.HK,恒基地产,0.8053478003452326,-0.0007132667617688604,False Positive,高概率预测但实际下跌
2,2025-02-11 00:00:00+00:00,0012.HK,恒基地产,0.7758917367846387,-0.012134189864382527,False Positive,高概率预测但实际下跌
2,2025-02-11 00:00:00+00:00,0016.HK,新鸿基地产,0.7650935146353589,-0.0074906367041197575,False Positive,高概率预测但实际下跌
2,2025-02-19 00:00:00+00:00,0883.HK,中国海洋石油,0.8173187089839243,-0.0014836795252225476,False Positive,高概率预测但实际下跌
2,2025-02-25 00:00:00+00:00,0883.HK,中国海洋石油,0.8256797566968468,-0.014880952380952328,False Positive,高概率预测但实际下跌
